variant,slot_number,state,sample_count
1,2,0,250687162
1,2,1,250687164
1,2,2,250687165
1,2,3,250687166
1,2,4,250687168
1,2,5,250687169
1,2,6,250687171
1,2,7,250687172
1,2,8,250687173
1,2,9,250687175
1,2,10,250687176
1,2,11,250687178
1,2,12,250687179
1,2,13,250687180
1,2,14,250687182
1,2,15,250687183
1,2,0,250687185
1,2,1,250687186
1,2,2,250687187
1,2,3,250687189
1,2,4,250687190
1,2,5,250687192
1,2,6,250687193
1,2,7,250687194
1,2,8,250687196
1,2,9,250687197
1,2,10,250687199
1,2,11,250687200
1,2,12,250687201
1,2,13,250687203
1,2,14,250687204
1,2,15,250687206
1,2,0,250687207
1,2,1,250687208
1,2,2,250687210
1,2,3,250687211
1,2,4,250687213
1,2,6,250687214
1,2,7,250687218
