variant,slot_number,state,sample_count
1,2,0,190043345
1,2,1,190043346
1,2,2,190043348
1,2,3,190043349
1,2,4,190043351
1,2,5,190043352
1,2,6,190043353
1,2,7,190043355
1,2,8,190043365
1,2,9,190043367
1,2,10,190043368
1,2,11,190043370
1,2,12,190043371
1,2,13,190043372
1,2,14,190043374
1,2,15,190043375
1,2,0,190043377
1,2,1,190043378
1,2,2,190043379
1,2,3,190043381
1,2,4,190043382
1,2,5,190043384
1,2,6,190043385
1,2,7,190043386
1,2,8,190043388
1,2,9,190043389
1,2,10,190043391
1,2,11,190043392
1,2,12,190043393
1,2,13,190043395
1,2,14,190043396
1,2,15,190043398
1,2,0,190043399
1,2,1,190043400
1,2,2,190043402
1,2,3,190043403
1,2,4,190043405
1,2,6,190043406
1,2,7,190043410
